time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.115,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.215,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.317,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.417,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.518,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.639,0.0,0.20743212890624999,0.0,1,-0.00913045,0.333439,0.00822276,5280.53,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.754,0.0,0.7785237794062501,0.0,1,-0.00913045,0.333439,0.00822276,5847.94,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.855,0.0,0.91912138687959,0.0,1,-0.00913045,0.333439,0.00822276,6631.77,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.958,0.0,0.966330840583954,0.0,1,-0.00913045,0.333439,0.00822276,7616.52,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
1.076,0.0,0.983729440233175,0.0,1,0.743328,0.333437,0.00866001,5235.99,0.0,5.7056,12.6442,22.5405,139.8370,90.6537,77.1592,71.5022,67.2019,64.4395,61.8996,59.5568,57.3891,54.6133,51.7613,47.1683,40.0094,31.0035,22.7421,11.2179
1.177,0.0,0.9899124883662317,0.0,1,5.3144,0.333313,0.00873726,5235.99,0.0,5.7071,12.6536,22.6212,139.5310,90.4810,77.0184,71.3742,67.0834,64.3269,61.7925,59.4545,57.2913,54.5210,51.6747,47.0907,39.9468,30.9626,22.7209,11.2160
1.280,0.0,0.9919385495784717,0.0,1,9.60425,0.333004,0.00873202,5235.99,0.0,5.7097,12.6700,22.7907,139.0580,90.1730,76.7558,71.1305,66.8541,64.1070,61.5813,59.2513,57.0952,54.3345,51.4979,46.9294,39.8149,30.8775,22.6781,11.2134
1.400,0.0,0.9926671645313239,0.0,1,14.6393,0.332414,0.00873297,5235.99,0.0,5.7148,12.7049,23.1399,138.1430,89.5799,76.2507,70.6628,66.4143,63.6853,61.1762,58.8613,56.7197,53.9770,51.1593,46.6208,39.5624,30.7139,22.5947,11.2085
1.501,0.0,0.9928412018642491,0.0,1,18.9704,0.331718,0.00872916,5235.99,0.0,5.7207,12.7516,23.5978,137.0700,88.8831,75.6576,70.1126,65.8972,63.1894,60.6999,58.4030,56.2780,53.5565,50.7607,46.2575,39.2647,30.5201,22.4945,11.2026
1.621,0.0,0.9912096976152516,0.0,1,24.1179,0.330671,0.00872248,8071.17,0.0,5.7296,12.8336,24.4054,135.4560,87.8338,74.7639,69.2844,65.1188,62.4428,59.9826,57.7128,55.6126,52.9236,50.1607,45.7108,38.8149,30.2251,22.3395,11.1939
1.741,0.0,0.9832352437216525,0.0,2,29.7991,0.32936,0.00871104,11409.3,0.0,5.7408,12.9575,25.6904,133.4400,86.5235,73.6477,68.2496,64.1459,61.5098,59.0861,56.8503,54.7816,52.1323,49.4105,45.0268,38.2504,29.8517,22.1387,11.1812
1.861,0.0,0.9799690134801688,0.0,2,35.0406,0.327783,0.0087015,6595.69,0.0,5.7542,13.1404,27.9640,131.0080,84.9426,72.3015,67.0016,62.9728,60.3849,58.0054,55.8102,53.7794,51.1785,48.5064,44.2028,37.5671,29.3949,21.8864,11.1570
1.982,0.0,0.9791127908197454,0.0,2,40.2947,0.325926,0.00869435,7319.55,0.0,5.7701,13.4080,200.0000,128.1310,83.0753,70.7113,65.5281,61.5877,59.0565,56.7293,54.5824,52.5960,50.0523,47.4390,43.2301,36.7562,28.8462,21.5751,11.1159
2.083,0.0,0.9798494351551892,0.0,2,44.6176,0.324213,0.00868481,9655.87,0.0,5.7858,13.7100,200.0000,125.4760,81.3512,69.2433,64.1673,60.3087,57.8299,55.5510,53.4484,51.5032,49.0125,46.4534,42.3316,36.0034,28.3307,21.2748,11.0661
2.183,0.0,0.9846099027554024,0.0,2,49.229,0.322322,0.00867194,13095.0,0.0,5.8164,14.1126,200.0000,122.5480,79.4490,67.6234,62.6659,58.8970,56.4760,54.2505,52.1971,50.2973,47.8645,45.3654,41.3399,35.1679,27.7525,20.9299,10.9981
2.283,0.0,0.9870371877786402,0.0,3,54.067,0.32024,0.00868195,11881.1,0.0,5.8704,14.6535,200.0000,119.2890,77.3395,65.8284,61.0028,57.3343,54.9777,52.8112,50.8124,48.9631,46.5951,44.1621,40.2437,34.2397,27.1024,20.5326,10.9076
2.384,0.0,0.9887737226444299,0.0,3,58.4869,0.317055,0.0129184,7616.47,0.0,5.9597,15.3920,200.0000,115.7060,75.0236,63.8592,59.1785,55.6201,53.3344,51.2328,49.2941,47.5004,45.2032,42.8432,39.0422,33.2183,26.3755,20.0753,10.7861
2.503,0.0,0.9903678053895264,0.0,3,63.273,0.310427,0.0262637,7929.21,0.0,6.1077,16.5900,200.0000,111.1500,72.0631,61.3375,56.8410,53.4228,51.2270,49.2083,47.3460,45.6229,43.4164,41.1495,37.4983,31.9042,25.4250,19.4653,10.6082
2.603,0.0,0.991702247860665,0.0,2,66.2674,0.300672,0.0381822,7652.45,0.0,6.2799,17.9899,200.0000,107.0780,69.4168,59.0837,54.7517,51.4588,49.3435,47.3987,45.6048,43.9449,41.8192,39.6355,36.1184,30.7297,24.5583,18.8954,10.4239
2.722,0.0,0.9916173757038111,0.0,2,71.1956,0.283269,0.0530574,12487.9,0.0,6.5520,20.3941,200.0000,102.0740,66.1357,56.2823,52.1527,49.0135,46.9973,45.1436,43.4340,41.8519,39.8264,37.7455,34.3941,29.2604,23.4515,18.1503,10.1600
2.842,0.0,0.9925829707271249,0.0,2,77.1972,0.257963,0.0690306,15991.2,0.0,6.9207,24.4029,200.0000,96.7588,62.6249,53.2788,49.3633,46.3877,44.4767,42.7202,41.1001,39.6012,37.6822,35.7110,32.5371,27.6761,22.2307,17.3085,9.8345
2.943,0.0,0.9920606835509893,0.0,3,81.867,0.229772,0.0827944,9172.4,0.0,7.3148,28.4297,200.0000,92.4358,59.6666,50.7245,46.9822,44.1395,42.3149,40.6379,39.0916,37.6616,35.8311,33.9513,30.9258,26.2950,21.1403,16.5391,9.5134
3.049,0.0,0.9926424701766131,0.0,3,87.1297,0.191116,0.098648,9261.32,0.0,7.8517,33.0068,200.0000,87.3102,56.2055,47.7465,44.2100,41.5254,39.8027,38.2199,36.7609,35.4118,33.6854,31.9131,29.0618,24.7003,19.8582,15.6184,9.1067
3.158,0.0,0.9928331100180976,0.0,3,92.1377,0.141874,0.115638,9973.33,0.0,8.5382,37.8466,200.0000,81.7737,52.4694,44.5332,41.2193,38.7052,37.0927,35.6117,34.2470,32.9853,31.3715,29.7153,27.0520,22.9812,18.4661,14.5871,8.6246
3.269,0.0,0.992895578881355,0.0,3,97.49,0.081365,0.133637,10149.8,0.0,9.3984,42.9103,196.9010,75.7435,48.4502,41.0873,38.0165,35.6882,34.1954,32.8250,31.5625,30.3955,28.9034,27.3727,24.9121,21.1539,16.9891,13.4517,8.0668
3.382,0.0,0.9929160486784674,0.0,3,102.546,0.00823212,0.152534,10691.3,0.0,10.4691,48.1625,192.6360,69.2871,44.1762,37.4297,34.6194,32.4901,31.1256,29.8731,28.7198,27.6541,26.2917,24.8946,22.6500,19.2241,15.4311,12.2168,7.4273
3.490,0.0,0.9929227562215852,0.0,3,107.753,-0.0789286,0.172528,10954.1,0.0,11.7195,53.6974,187.9360,62.2307,39.5789,33.5121,30.9873,29.0752,27.8503,26.7262,25.6913,24.7355,23.5136,22.2611,20.2493,17.1804,13.7852,10.9098,6.6992
