time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.120,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.222,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.341,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.458,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.561,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.678,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.782,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.899,0.0,0.331627880859375,0.0,1,-0.00913045,0.333439,0.00822276,5329.81,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
1.020,0.0,0.779666714625,0.0,1,0.0568233,0.333447,0.00857657,5249.36,0.0,5.7050,12.6406,22.5215,139.9680,90.7107,77.2012,71.5384,67.2342,64.4692,61.9274,59.5825,57.4132,54.6351,51.7811,47.1849,40.0224,31.0124,22.7474,11.2189
1.139,0.0,0.960632950457406,0.0,1,3.39276,0.33337,0.00850838,5235.99,0.0,5.7053,12.6411,22.5394,139.9790,90.6943,77.1819,71.5184,67.2136,64.4486,61.9067,59.5620,57.3927,54.6148,51.7613,47.1656,40.0060,31.0023,22.7428,11.2190
1.242,0.0,1.0,0.0,1,7.73941,0.333143,0.00851172,5235.99,0.0,5.7073,12.6532,22.6645,139.6110,90.4576,76.9808,71.3322,67.0389,64.2811,61.7458,59.4072,57.2434,54.4731,51.6268,47.0432,39.9060,30.9379,22.7104,11.2170
1.361,0.0,1.0,0.0,1,12.7528,0.332656,0.00850981,5235.99,0.0,5.7114,12.6812,22.9471,138.8400,89.9575,76.5548,70.9377,66.6680,63.9253,61.4040,59.0783,56.9267,54.1715,51.3410,46.7826,39.6930,30.8002,22.6406,11.2129
1.461,0.0,1.0,0.0,1,17.009,0.332067,0.00850647,5235.99,0.0,5.7164,12.7190,23.3216,137.9080,89.3521,76.0396,70.4598,66.2188,63.4947,60.9903,58.6804,56.5432,53.8064,50.9949,46.4673,39.4345,30.6325,22.5546,11.2080
1.563,0.0,1.0,0.0,1,21.3541,0.331294,0.0085017,5873.06,0.0,5.7230,12.7757,23.8770,136.6830,88.5572,75.3626,69.8325,65.6289,62.9292,60.4470,58.1576,56.0393,53.3270,50.5404,46.0531,39.0943,30.4102,22.4390,11.2016
1.665,0.0,1.0,0.0,1,25.8719,0.330362,0.00849503,12519.3,0.0,5.7310,12.8552,24.6646,135.2090,87.6000,74.5475,69.0770,64.9190,62.2482,59.7928,57.5283,55.4328,52.7497,49.9932,45.5543,38.6836,30.1403,22.2959,11.1938
1.784,0.0,1.0,0.0,2,31.5449,0.329,0.00848168,7554.98,0.0,5.7425,12.9943,26.1510,133.0580,86.2020,73.3567,67.9734,63.8816,61.2531,58.8370,56.6083,54.5463,51.9059,49.1935,44.8254,38.0808,29.7403,22.0793,11.1785
1.905,0.0,1.0,0.0,2,37.0743,0.327378,0.00847119,10856.0,0.0,5.7564,13.1990,28.9600,130.4850,84.5317,71.9348,66.6554,62.6426,60.0651,57.6956,55.5101,53.4881,50.8987,48.2389,43.9554,37.3582,29.2555,21.8097,11.1500
2.006,0.0,1.0,0.0,2,42.0303,0.32579,0.0084607,14258.4,0.0,5.7699,13.4441,200.0000,127.9620,82.8938,70.5401,65.3626,61.4276,58.9000,56.5762,54.4330,52.4502,49.9110,47.3027,43.1021,36.6459,28.7722,21.5338,11.1115
2.127,0.0,1.0,0.0,3,47.7042,0.323671,0.0084359,8443.79,0.0,5.7928,13.8475,200.0000,124.6030,80.7112,68.6810,63.6395,59.8077,57.3465,55.0838,52.9968,51.0661,48.5937,46.0539,41.9639,35.6901,28.1158,21.1490,11.0442
2.244,0.0,1.0,0.0,3,53.1585,0.321297,0.00839966,8832.54,0.0,5.8440,14.4200,200.0000,120.8430,78.2647,66.5967,61.7073,57.9910,55.6042,53.4101,51.3861,49.5136,47.1160,44.6532,40.6870,34.6108,27.3644,20.6949,10.9476
2.345,0.0,1.0,0.0,3,57.6413,0.318428,0.00898012,9724.26,0.0,5.9222,15.0896,200.0000,117.3700,76.0087,64.6756,59.9267,56.3171,53.9988,51.8677,49.9021,48.0835,45.7549,43.3629,39.5111,33.6111,26.6563,20.2532,10.8350
2.447,0.0,1.0,0.0,3,61.8318,0.314405,0.0199024,11256.4,0.0,6.0291,15.9702,200.0000,113.6530,73.5902,62.6148,58.0160,54.5209,52.2761,50.2124,48.3092,46.5484,44.2938,41.9777,38.2483,32.5360,25.8847,19.7632,10.6988
2.565,0.0,1.0,0.0,3,67.5291,0.30469,0.0339476,12083.6,0.0,6.2130,17.4453,200.0000,108.9350,70.4979,59.9750,55.5668,52.2167,50.0654,48.0876,46.2638,44.5764,42.4161,40.1971,36.6239,31.1518,24.8703,19.1023,10.4932
2.687,0.0,1.0,0.0,3,73.3269,0.288315,0.0489054,12712.1,0.0,6.4731,19.6434,200.0000,104.1500,67.2757,57.2043,52.9883,49.7854,47.7292,45.8394,44.0968,42.4849,40.4216,38.3027,34.8918,29.6703,23.7573,18.3570,10.2343
2.807,0.0,1.0,0.0,3,79.466,0.263822,0.0647283,12795.3,0.0,6.8288,23.2322,200.0000,99.2977,63.9205,54.3001,50.2781,47.2248,45.2655,43.4656,41.8062,40.2718,38.3086,36.2930,33.0502,28.0900,22.5386,17.5190,9.9138
2.907,0.0,1.0,0.0,3,84.2436,0.236145,0.0780152,13336.7,0.0,7.2091,27.1094,200.0000,95.7238,61.2342,51.9295,48.0486,45.1062,43.2197,41.4876,39.8919,38.4172,36.5314,34.5967,31.4870,26.7371,21.4629,16.7604,9.5979
3.009,0.0,1.0,0.0,3,89.6419,0.199422,0.0915308,13263.1,0.0,7.6965,30.9608,200.0000,92.7910,58.6677,49.5962,45.8294,42.9798,41.1558,39.4832,37.9440,36.5229,34.7077,32.8478,29.8633,25.3164,20.2943,15.9165,9.2194
3.119,0.0,1.0,0.0,3,95.0584,0.150831,0.104257,13538.7,0.0,8.3159,34.3651,200.0000,91.8818,56.6716,47.5974,43.8636,41.0523,39.2586,37.6179,36.1114,34.7235,32.9544,31.1468,28.2556,23.8741,19.0665,14.9841,8.7656
3.230,0.0,1.0,0.0,3,100.795,0.0917028,0.113587,13294.7,0.0,9.0277,36.4532,200.0000,95.9285,56.2006,46.5963,42.7148,39.8190,37.9831,36.3116,34.7835,33.3814,31.6020,29.7924,26.9169,22.6020,17.9256,14.0411,8.2630
3.339,0.0,1.0,0.0,3,106.301,0.0222092,0.116761,13260.1,0.0,9.7860,36.5727,200.0000,113.8830,59.1756,47.7513,43.3043,40.0472,38.0088,36.1704,34.5042,32.9871,31.0780,29.1551,26.1368,21.6916,16.9846,13.1597,7.7248
3.448,0.0,1.0,0.0,3,111.978,-0.0559209,0.111893,12819.2,0.0,10.4957,34.8147,108.7060,169.3810,70.2887,53.3966,47.3414,43.0743,40.4723,38.1694,36.1171,34.2767,31.9981,29.7439,26.2859,21.3639,16.3615,12.4457,7.1669
3.558,0.0,1.0,0.0,3,117.322,-0.138842,0.101127,12674.5,0.0,11.0141,32.2668,75.3943,186.7550,105.5640,68.9384,58.1869,51.2072,47.1698,43.7257,40.7532,38.1618,35.0464,32.0611,27.6584,21.7357,16.0942,11.9204,6.6047
3.670,0.0,1.0,0.0,3,122.467,-0.221424,0.0871262,12718.5,0.0,11.3993,30.2760,60.0658,196.3310,168.8570,107.4410,81.3503,67.1027,59.6464,53.6850,48.8104,44.7505,40.0875,35.8276,29.8885,22.4833,15.9851,11.4888,6.0989
3.781,0.0,0.984651611328125,0.0,3,127.487,-0.291129,0.0630919,12901.2,0.0,11.7177,29.1994,53.1235,131.1970,178.4260,161.4610,127.2850,93.2261,78.2729,67.4580,59.2729,52.8626,45.9166,39.9279,32.0964,23.0894,15.8013,11.0607,5.6688
3.888,0.0,0.9662127728125,0.0,3,132.402,-0.344173,0.0506836,13027.8,0.0,12.0306,29.0896,51.0155,112.9100,179.3780,165.6330,154.4770,118.4370,93.8132,77.6711,66.2727,57.7956,49.0230,41.7826,32.7353,22.8781,15.2993,10.5480,5.3030
3.999,0.0,0.963720044754575,0.0,3,137.124,-0.385459,0.0470549,13368.8,0.0,12.3506,29.6109,51.4174,110.7670,176.0390,162.9200,152.8500,124.5800,96.2253,78.3894,66.1358,57.1990,48.1048,40.7143,31.6224,21.8930,14.5344,9.9741,4.9856
4.109,-0.054970650585021104,0.9701720108276791,0.0,3,141.802,-0.423577,0.057669,13779.5,0.0,12.8409,31.5731,56.4955,132.5090,166.1710,150.5390,123.5420,86.0227,70.6937,60.0054,52.1281,46.0821,39.6491,34.1992,27.2032,19.3350,13.1033,9.1128,4.6318
4.220,-0.04549481858157862,0.9782749938048889,0.0,3,146.45,-0.47054,0.0823192,14252.1,0.0,13.6462,35.7623,69.5959,172.6130,146.1590,82.1372,60.3668,49.0087,43.2058,38.6344,34.9401,31.8929,28.4259,25.2887,20.9623,15.6437,11.0443,7.8982,4.1643
4.329,-0.04616820146973043,0.983973521063736,0.0,3,151.129,-0.533483,0.106205,14694.4,0.0,14.6472,41.1666,89.2843,156.7630,76.9334,44.7637,36.6091,31.5802,28.7608,26.4054,24.4083,22.6937,20.6641,18.7510,15.9848,12.3637,9.0169,6.6022,3.5974
