time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.117,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.236,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.358,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.458,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.577,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.697,0.0,0.367166162109375,0.0,1,-0.00913045,0.333439,0.00822276,5331.8,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.800,0.0,0.778826818546875,0.0,1,-0.00913045,0.333439,0.00822276,5847.31,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.917,0.0,0.932153217364902,0.0,1,-0.00913045,0.333439,0.00822276,6811.89,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
1.018,0.0,0.9646528289264138,0.0,1,0.175627,0.333445,0.00865429,5249.36,0.0,5.7055,12.6436,22.5364,139.8550,90.6631,77.1668,71.5091,67.2081,64.4453,61.9053,59.5622,57.3943,54.6181,51.7659,47.1723,40.0126,31.0057,22.7432,11.2180
1.137,0.0,0.9820421660298357,0.0,1,3.49539,0.333398,0.00876635,5235.99,0.0,5.7066,12.6508,22.5876,139.6020,90.5374,77.0683,71.4213,67.1283,64.3702,61.8346,59.4954,57.3308,54.5589,51.7111,47.1243,39.9744,30.9802,22.7296,11.2164
1.240,0.0,0.9861957918084066,0.0,1,7.88984,0.33316,0.00877875,5235.99,0.0,5.7086,12.6638,22.7186,139.2150,90.2904,76.8593,71.2279,66.9466,64.1963,61.6675,59.3348,57.1763,54.4119,51.5721,46.9977,39.8713,30.9136,22.6960,11.2142
1.358,0.0,0.9884424541790728,0.0,1,12.8908,0.332651,0.00877398,5235.99,0.0,5.7130,12.6924,23.0091,138.4380,89.7844,76.4282,70.8282,66.5709,63.8359,61.3212,59.0016,56.8550,54.1065,51.2822,46.7337,39.6552,30.7739,22.6251,11.2100
1.459,0.0,0.9882930382291486,0.0,1,17.1226,0.332038,0.00877064,5235.99,0.0,5.7182,12.7312,23.3926,137.4980,89.1740,75.9085,70.3465,66.1179,63.4016,60.9041,58.6001,56.4682,53.7381,50.9333,46.4155,39.3945,30.6045,22.5382,11.2049
1.561,0.0,0.9882440776106775,0.0,1,21.4388,0.331237,0.00876635,5461.48,0.0,5.7251,12.7892,23.9606,136.2680,88.3753,75.2281,69.7158,65.5252,62.8329,60.3579,58.0743,55.9618,53.2562,50.4762,45.9989,39.0525,30.3811,22.4217,11.1982
1.681,0.0,0.9886119703249234,0.0,1,26.7627,0.330062,0.00875872,12180.9,0.0,5.7351,12.8897,24.9654,134.4670,87.2043,74.2306,68.7913,64.6558,61.9994,59.5570,57.3038,55.2191,52.5493,49.8063,45.3883,38.5493,30.0498,22.2456,11.1883
1.800,0.0,0.9883229111926067,0.0,2,32.4063,0.328616,0.00874632,7105.32,0.0,5.7474,13.0400,26.6297,132.2510,85.7630,73.0031,67.6532,63.5863,60.9735,58.5714,56.3553,54.3049,51.6792,48.9814,44.6365,37.9274,29.6362,22.0203,11.1707
1.902,0.0,0.9882538663833433,0.0,2,36.8321,0.32721,0.00873917,8777.51,0.0,5.7594,13.2170,29.1885,130.0870,84.3574,71.8063,66.5440,62.5434,59.9733,57.6105,55.4308,53.4141,50.8313,48.1778,43.9038,37.3188,29.2273,21.7922,11.1455
2.004,0.0,0.988984171467744,0.0,2,41.6236,0.325586,0.00873059,12147.9,0.0,5.7732,13.4622,200.0000,127.5870,82.7341,70.4236,65.2622,61.3384,58.8181,56.5008,54.3629,52.3848,49.8517,47.2492,43.0577,36.6126,28.7480,21.5183,11.1069
2.122,0.0,0.9884204814889903,0.0,3,47.416,0.32342,0.00871151,12290.7,0.0,5.7965,13.8650,200.0000,124.2560,80.5688,68.5788,63.5527,59.7311,57.2766,55.0197,52.9377,51.0113,48.5444,46.0100,41.9282,35.6644,28.0967,21.1360,11.0398
2.242,0.0,0.9895075182306998,0.0,3,52.9127,0.32098,0.008681,8076.83,0.0,5.8480,14.4378,200.0000,120.5120,78.1318,66.5029,61.6277,57.9215,55.5407,53.3520,51.3328,49.4648,47.0722,44.6143,40.6558,34.5893,27.3480,20.6836,10.9432
2.343,0.0,0.9903361302144607,0.0,3,57.2982,0.318054,0.00909074,8051.52,0.0,5.9262,15.1069,200.0000,117.0530,75.8850,64.5894,59.8540,56.2543,53.9418,51.8159,49.8547,48.0404,45.7166,43.3295,39.4847,33.5938,26.6430,20.2437,10.8309
2.464,0.0,0.9909975378001895,0.0,2,61.6277,0.312838,0.0222071,7118.05,0.0,6.0586,16.1925,200.0000,112.5760,72.9753,62.1110,57.5567,54.0947,51.8708,49.8263,47.9403,46.1951,43.9605,41.6648,37.9673,32.3024,25.7149,19.6529,10.6649
2.584,0.0,0.9910652105022179,0.0,2,66.6135,0.302455,0.0362141,11427.2,0.0,6.2495,17.7350,200.0000,107.7860,69.8641,59.4618,55.1013,51.7866,49.6573,47.6997,45.8940,44.2233,42.0838,39.8857,36.3459,30.9226,24.7014,18.9901,10.4554
2.703,0.0,0.9910456051825183,0.0,2,72.2514,0.285517,0.0511293,15531.4,0.0,6.5162,20.0411,200.0000,102.8880,66.6115,56.6752,52.5118,49.3477,47.3155,45.4476,43.7247,42.1306,40.0897,37.9932,34.6175,29.4469,23.5914,18.2447,10.1937
2.804,0.0,0.9911714196093325,0.0,3,77.034,0.265381,0.0644571,7676.58,0.0,6.8117,23.0978,200.0000,98.5006,63.6969,54.1778,50.1912,47.1620,45.2169,43.4292,41.7804,40.2552,38.3026,36.2971,33.0683,28.1242,22.5759,17.5472,9.9280
2.904,0.0,0.992351076168211,0.0,3,80.8915,0.239131,0.0786104,8080.79,0.0,7.1857,27.2004,200.0000,93.7434,60.5687,51.5049,47.7103,44.8276,42.9767,41.2755,39.7069,38.2560,36.3985,34.4910,31.4203,26.7192,21.4779,16.7792,9.6162
