time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.118,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.219,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.319,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.438,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.556,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.659,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.778,0.0,0.4263087890625,0.0,1,-0.00913045,0.333439,0.00822276,5363.63,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.897,0.0,0.8737465415906249,0.0,1,-0.00913045,0.333439,0.00822276,6074.71,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.999,0.0,1.0,0.0,1,-0.0164475,0.33345,0.00871628,6992.44,0.0,5.7058,12.6460,22.5471,139.7670,90.6271,77.1409,71.4869,67.1886,64.4275,61.8889,59.5470,57.3803,54.6054,51.7547,47.1630,40.0057,31.0007,22.7402,11.2174
1.118,0.0,1.0,0.0,1,2.58964,0.333424,0.00874298,5235.99,0.0,5.7062,12.6486,22.5698,139.6750,90.5768,77.1002,71.4501,67.1548,64.3954,61.8584,59.5179,57.3524,54.5793,51.7301,47.1411,39.9881,30.9892,22.7343,11.2168
1.218,0.0,1.0,0.0,1,7.07859,0.333228,0.00875824,5235.99,0.0,5.7080,12.6595,22.6788,139.3460,90.3688,76.9241,71.2875,67.0023,64.2493,61.7183,59.3833,57.2228,54.4560,51.6136,47.0352,39.9016,30.9334,22.7061,11.2150
1.320,0.0,1.0,0.0,1,11.3148,0.332846,0.00875681,5235.99,0.0,5.7112,12.6804,22.8926,138.7590,89.9870,76.5993,70.9863,66.7189,63.9776,61.4573,59.1323,56.9809,54.2259,51.3954,46.8362,39.7391,30.8284,22.6530,11.2118
1.438,0.0,1.0,0.0,1,16.4239,0.332167,0.00875252,5235.99,0.0,5.7170,12.7221,23.3067,137.7180,89.3105,76.0232,70.4522,66.2169,63.4963,60.9949,58.6871,56.5519,53.8177,51.0084,46.4837,39.4503,30.6410,22.5572,11.2062
1.540,0.0,1.0,0.0,1,20.7746,0.331396,0.00874775,5644.16,0.0,5.7236,12.7766,23.8404,136.5320,88.5397,75.3669,69.8438,65.6451,62.9477,60.4678,58.1802,56.0633,53.3526,50.5675,46.0819,39.1205,30.4257,22.4452,11.1997
1.640,0.0,1.0,0.0,1,25.2468,0.330463,0.00874108,11528.6,0.0,5.7315,12.8530,24.5968,135.0980,87.6075,74.5728,69.1079,64.9531,62.2843,59.8306,57.5669,55.4721,52.7900,50.0343,45.5957,38.7204,30.1629,22.3062,11.1919
1.743,0.0,1.0,0.0,2,29.9936,0.32934,0.00873011,6498.19,0.0,5.7411,12.9608,25.7237,133.3770,86.4886,73.6192,68.2239,64.1221,61.4873,59.0646,56.8298,54.7620,52.1138,49.3932,45.0115,38.2378,29.8433,22.1341,11.1807
1.843,0.0,1.0,0.0,2,34.3547,0.328034,0.00872153,7063.41,0.0,5.7522,13.1097,27.5284,131.3670,85.1826,72.5070,67.1928,63.1528,60.5576,58.1717,55.9704,53.9338,51.3257,48.6463,44.3307,37.6734,29.4661,21.9262,11.1613
1.961,0.0,1.0,0.0,2,39.6642,0.326237,0.00871247,9696.84,0.0,5.7675,13.3597,33.4134,128.5920,83.3799,70.9719,65.7701,61.8153,59.2750,56.9394,54.7849,52.7912,50.2384,47.6156,43.3910,36.8909,28.9378,21.6276,11.1236
2.064,0.0,1.0,0.0,2,44.4763,0.324501,0.00870055,13284.9,0.0,5.7827,13.6550,200.0000,125.9140,81.6394,69.4897,64.3962,60.5238,58.0365,55.7495,53.6398,51.6877,49.1880,46.6199,42.4837,36.1313,28.4186,21.3265,11.0752
2.182,0.0,1.0,0.0,3,50.2539,0.322202,0.00867813,8050.32,0.0,5.8189,14.1387,200.0000,122.3710,79.3360,67.5275,62.5771,58.8139,56.3963,54.1739,52.1237,50.2265,47.7974,45.3016,41.2819,35.1191,27.7184,20.9092,10.9937
2.285,0.0,1.0,0.0,3,54.6988,0.320084,0.00868862,8065.38,0.0,5.8751,14.6949,200.0000,119.0600,77.1930,65.7041,60.8877,57.2262,54.8743,52.7119,50.7169,48.8712,46.5077,44.0793,40.1683,34.1758,27.0575,20.5047,10.9007
2.404,0.0,1.0,0.0,3,60.0351,0.315971,0.0158572,8028.79,0.0,5.9885,15.6285,200.0000,114.6960,74.3695,63.3022,58.6623,55.1352,52.8695,50.7861,48.8645,47.0862,44.8092,42.4698,38.7019,32.9287,26.1678,19.9434,10.7494
2.522,0.0,1.0,0.0,3,64.9233,0.308108,0.029518,9423.6,0.0,6.1511,16.9374,200.0000,110.0320,71.3380,60.7204,56.2692,52.8855,50.7118,48.7133,46.8697,45.1640,42.9798,40.7355,37.1212,31.5833,25.1898,19.3118,10.5601
2.624,0.0,1.0,0.0,3,69.6686,0.296979,0.0417092,10092.0,0.0,6.3394,18.4854,200.0000,105.9370,68.6529,58.4278,54.1420,50.8839,48.7912,46.8675,45.0927,43.4507,41.3483,39.1884,35.7096,30.3805,24.2970,18.7208,10.3640
2.743,0.0,1.0,0.0,3,75.4202,0.276934,0.0571992,10755.5,0.0,6.6438,21.2739,200.0000,100.8850,65.2829,55.5372,51.4546,48.3522,46.3598,44.5284,42.8392,41.2766,39.2760,37.2211,33.9122,28.8449,23.1317,17.9306,10.0764
2.863,0.0,1.0,0.0,3,81.189,0.248169,0.0735785,11325.3,0.0,7.0537,25.7742,200.0000,95.7205,61.7633,52.5012,48.6258,45.6823,43.7928,42.0565,40.4556,38.9750,37.0797,35.1338,32.0017,27.2083,21.8576,17.0447,9.7238
2.986,0.0,1.0,0.0,3,87.1891,0.208516,0.0906316,11642.8,0.0,7.5980,30.7198,200.0000,90.7444,58.1937,49.3841,45.7065,42.9167,41.1274,39.4843,37.9701,36.5705,34.7801,32.9430,29.9889,25.4741,20.4666,16.0524,9.2947
3.095,0.0,1.0,0.0,3,92.63,0.162374,0.106146,11813.8,0.0,8.2207,35.0816,200.0000,86.6340,55.0265,46.5751,43.0599,40.3982,38.6934,37.1293,35.6894,34.3596,32.6600,30.9179,28.1204,23.8542,19.1360,15.0731,8.8397
