time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.116,-0.07067305386162478,0.315364599609375,0.0,1,-0.00913045,0.333439,0.00822276,5312.48,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.216,-0.0875540549385548,0.7981662813749999,0.0,1,-0.00913045,0.333439,0.00822276,5819.26,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.337,-0.0936248240394373,0.9897879747116429,0.0,1,-0.00913045,0.333439,0.00822276,6834.17,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.457,-0.09521623973461903,1.0,0.0,1,-0.00913045,0.333439,0.00822276,8146.07,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.576,-0.09563341981061675,1.0,0.0,1,-0.00913045,0.333439,0.00822276,9726.04,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.677,-0.09460864132247189,1.0,0.0,1,-0.00913045,0.333439,0.00822276,11129.2,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.798,-0.09986643188499641,1.0,0.0,1,-0.00913045,0.333439,0.00822276,12813.5,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.916,-0.0968524397816853,1.0,0.0,1,-0.00913045,0.333439,0.00822276,14523.0,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
1.037,-0.09616675622665125,1.0,0.0,2,0.1614,0.333429,0.00868052,5264.23,0.0,5.7058,12.6451,22.5426,139.8130,90.6456,77.1537,71.4980,67.1983,64.4362,61.8970,59.5544,57.3870,54.6113,51.7598,47.1672,40.0087,31.0028,22.7415,11.2176
1.156,-0.0954596153424548,1.0,0.0,2,3.48689,0.333232,0.00928133,5235.99,0.0,5.7110,12.6751,22.7038,138.8220,90.2018,76.8233,71.2095,66.9405,64.1970,61.6742,59.3466,57.1925,54.4333,51.5979,47.0297,39.9012,30.9282,22.6981,11.2093
