time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.117,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.237,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.357,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.474,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.575,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.677,0.0,0.15623291015625002,0.0,1,-0.00913045,0.333439,0.00822276,5266.18,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.796,0.0,0.762542551640625,0.0,1,-0.00913045,0.333439,0.00822276,5796.72,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.898,0.0,0.9202122792591,0.0,1,-0.00913045,0.333439,0.00822276,6569.1,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
1.017,0.0,0.9722629956051219,0.0,1,0.175487,0.333445,0.00865382,5249.36,0.0,5.7055,12.6437,22.5362,139.8560,90.6634,77.1670,71.5093,67.2083,64.4455,61.9054,59.5623,57.3944,54.6182,51.7659,47.1723,40.0127,31.0057,22.7433,11.2180
1.136,0.0,0.992231108766784,0.0,1,3.5311,0.333398,0.00877827,5235.99,0.0,5.7066,12.6513,22.5899,139.5850,90.5303,77.0632,71.4169,67.1243,64.3667,61.8314,59.4923,57.3280,54.5563,51.7088,47.1223,39.9729,30.9792,22.7290,11.2162
1.237,0.0,0.9985440612050747,0.0,1,7.91536,0.333157,0.00878828,5235.99,0.0,5.7087,12.6643,22.7215,139.2000,90.2832,76.8541,71.2233,66.9427,64.1923,61.6639,59.3314,57.1731,54.4091,51.5695,46.9956,39.8695,30.9123,22.6953,11.2141
1.360,0.0,1.0,0.0,1,12.9734,0.332643,0.00878304,5235.99,0.0,5.7131,12.6932,23.0137,138.4180,89.7747,76.4206,70.8214,66.5645,63.8301,61.3158,58.9964,56.8501,54.1017,51.2780,46.7300,39.6523,30.7719,22.6240,11.2098
1.482,0.0,1.0,0.0,1,18.1716,0.331867,0.00877875,5235.99,0.0,5.7197,12.7431,23.5065,137.2290,89.0021,75.7627,70.2117,65.9915,63.2805,60.7878,58.4881,56.3605,53.6357,50.8362,46.3273,39.3223,30.5573,22.5136,11.2033
1.600,0.0,1.0,0.0,1,23.3334,0.330851,0.00877255,7855.89,0.0,5.7284,12.8201,24.2626,135.6750,87.9919,74.9021,69.4139,65.2415,62.5611,60.0970,57.8233,55.7198,53.0258,50.2581,45.8002,38.8893,30.2738,22.3650,11.1949
1.720,0.0,1.0,0.0,2,29.0113,0.329571,0.0087611,11340.4,0.0,5.7393,12.9369,25.4579,133.7190,86.7199,73.8186,68.4093,64.2971,61.6554,59.2267,56.9859,54.9129,52.2577,49.5301,45.1366,38.3416,29.9120,22.1711,11.1832
1.821,0.0,1.0,0.0,2,33.4054,0.328299,0.00875157,6531.69,0.0,5.7501,13.0764,27.0802,131.7690,85.4528,72.7391,67.4091,63.3566,60.7535,58.3601,56.1522,54.1091,51.4929,48.8049,44.4756,37.7942,29.5470,21.9709,11.1657
1.921,0.0,1.0,0.0,2,37.7152,0.326853,0.00874489,7219.47,0.0,5.7625,13.2659,30.1550,129.5460,84.0082,71.5093,66.2689,62.2851,59.7257,57.3728,55.2020,53.1936,50.6215,47.9790,43.7229,37.1682,29.1255,21.7344,11.1380
2.040,0.0,1.0,0.0,2,43.0986,0.324853,0.00873583,10424.7,0.0,5.7795,13.5870,200.0000,126.4630,82.0069,69.8047,64.6892,60.8001,58.3017,56.0047,53.8857,51.9251,49.4144,46.8347,42.6798,36.2963,28.5317,21.3925,11.0864
2.141,0.0,1.0,0.0,2,47.7958,0.32301,0.00872296,13999.7,0.0,5.8031,13.9499,200.0000,123.6280,80.1647,68.2359,63.2349,59.4329,56.9906,54.7452,52.6738,50.7572,48.3026,45.7810,41.7195,35.4889,27.9752,21.0635,11.0254
2.263,0.0,1.0,0.0,3,53.5408,0.320542,0.00869816,8033.7,0.0,5.8601,14.5530,200.0000,119.8370,77.6987,66.1354,61.2874,57.6023,55.2349,53.0583,51.0504,49.1927,46.8136,44.3696,40.4328,34.4005,27.2155,20.6021,10.9240
