time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.118,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.220,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.321,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.440,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.558,0.0,0.26988764648437497,0.0,1,-0.00913045,0.333439,0.00822276,5306.75,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.659,0.0,0.63614494415625,0.0,1,-0.00913045,0.333439,0.00822276,5712.33,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.759,0.0,0.79137013936362,0.0,1,-0.00913045,0.333439,0.00822276,6341.85,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.879,0.0,0.9316607631102117,0.0,1,-0.00913045,0.333439,0.00822276,7398.34,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.999,0.0,0.9693013136997042,0.0,1,-0.0164475,0.33345,0.00871628,8760.21,0.0,5.7058,12.6460,22.5471,139.7670,90.6271,77.1409,71.4869,67.1886,64.4275,61.8889,59.5470,57.3803,54.6054,51.7547,47.1630,40.0057,31.0007,22.7402,11.2174
1.121,0.0,0.9842019005316203,0.0,1,2.66107,0.333393,0.00884646,5235.99,0.0,5.7071,12.6534,22.5921,139.5200,90.5106,77.0521,71.4085,67.1182,64.3614,61.8270,59.4889,57.3255,54.5548,51.7080,47.1229,39.9739,30.9791,22.7281,11.2154
1.242,0.0,0.989886118716086,0.0,1,7.91295,0.333123,0.00884169,5235.99,0.0,5.7093,12.6671,22.7351,139.1160,90.2470,76.8273,71.2002,66.9220,64.1734,61.6463,59.3150,57.1578,54.3953,51.5568,46.9850,39.8612,30.9065,22.6916,11.2132
