time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.112,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.216,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.336,0.0,0.116553515625,0.0,1,-0.00913045,0.333439,0.00822276,5248.76,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.455,0.0,0.37290009151875,0.0,1,-0.00913045,0.333439,0.00822276,5460.54,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.556,0.0,0.530779737926364,0.0,1,-0.00913045,0.333439,0.00822276,5811.53,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.676,0.0,0.6830318314314688,0.0,1,-0.00913045,0.333439,0.00822276,6433.27,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.776,0.0,0.7426808002109636,0.0,1,-0.00913045,0.333439,0.00822276,7124.9,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.894,0.0,0.7695920914717529,0.0,1,-0.00913045,0.333439,0.00822276,8120.71,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.995,0.0,0.7790597253543301,0.0,1,-0.0164475,0.33345,0.00871628,9083.36,0.0,5.7058,12.6460,22.5471,139.7670,90.6271,77.1409,71.4869,67.1886,64.4275,61.8889,59.5470,57.3803,54.6054,51.7547,47.1630,40.0057,31.0007,22.7402,11.2174
1.095,0.0,0.7909074353353568,0.0,1,1.53165,0.333432,0.00871199,5235.99,0.0,5.7059,12.6467,22.5552,139.7470,90.6127,77.1285,71.4753,67.1778,64.4170,61.8787,59.5371,57.3708,54.5963,51.7459,47.1550,39.9992,30.9965,22.7382,11.2172
1.198,0.0,0.7897435581763146,0.0,1,5.05051,0.333295,0.00871151,5235.99,0.0,5.7071,12.6536,22.6273,139.5370,90.4762,77.0123,71.3677,67.0766,64.3201,61.7857,59.4475,57.2844,54.5142,51.6680,47.0841,39.9411,30.9591,22.7194,11.2161
1.314,0.0,0.7794229587520718,0.0,1,9.30626,0.332939,0.00871104,5235.99,0.0,5.7102,12.6729,22.8244,138.9850,90.1183,76.7076,71.0852,66.8113,64.0655,61.5411,59.2123,57.0575,54.2984,51.4635,46.8977,39.7889,30.8608,22.6698,11.2131
1.434,0.0,0.7501685724116032,0.0,1,13.3591,0.332387,0.00871104,5235.99,0.0,5.7149,12.7059,23.1537,138.1280,89.5630,76.2349,70.6472,66.3993,63.6707,61.1618,58.8472,56.7058,53.9638,51.1465,46.6087,39.5524,30.7076,22.5917,11.2085
1.540,0.0,0.7372900913234591,0.0,1,16.7092,0.331767,0.00871104,5235.99,0.0,5.7202,12.7476,23.5630,137.1640,88.9378,75.7025,70.1541,65.9356,63.2261,60.7348,58.4365,56.3103,53.5870,50.7892,46.2833,39.2856,30.5339,22.5020,11.2033
1.660,0.0,0.734941019012397,0.0,1,20.5952,0.330862,0.00871104,5235.99,0.0,5.7279,12.8175,24.2482,135.7580,88.0258,74.9262,69.4346,65.2596,62.5776,60.1119,57.8372,55.7326,53.0374,50.2684,45.8086,38.8955,30.2782,22.3678,11.1956
1.777,0.0,0.7352663859098608,0.0,1,24.4677,0.329769,0.00871056,5235.99,0.0,5.7373,12.9169,25.2575,134.0590,86.9246,73.9890,68.5659,64.4430,61.7948,59.3598,57.1138,55.0353,52.3738,49.6396,45.2354,38.4228,29.9663,22.2009,11.1858
1.895,0.0,0.7401791628742045,0.0,1,28.344,0.328489,0.00871151,5235.99,0.0,5.7482,13.0554,26.8278,132.0680,85.6333,72.8899,67.5476,63.4862,60.8772,58.4783,56.2655,54.2179,51.5961,48.9023,44.5638,37.8668,29.5960,21.9983,11.1689
